song_title,film,year,language,category,co_singers,composer,lyricist,notes,youtube_url
Chaudhvin Ka Chand Ho,Chaudhvin Ka Chand,1960,Hindi,Romantic,Solo,Ravi,Shakeel Badayuni,,https://www.youtube.com/results?search_query=Chaudhvin+Ka+Chand+Ho+Mohammad+Rafi
Teri Pyari Pyari Surat Ko,Sasural,1961,Hindi,Romantic,Solo,Shankar-Jaikishan,Hasrat Jaipuri,,https://www.youtube.com/results?search_query=Teri+Pyari+Pyari+Surat+Ko+Mohammad+Rafi
Husnwale Tera Jawab Nahin,Gharana,1961,Hindi,Romantic,Solo,Ravi,Shakeel Badayuni,,https://www.youtube.com/results?search_query=Husnwale+Tera+Jawab+Nahin+Mohammad+Rafi
Baar Baar Dekho,China Town,1962,Hindi,Playful,Solo,Ravi,Majrooh Sultanpuri,,https://www.youtube.com/results?search_query=Baar+Baar+Dekho+Mohammad+Rafi
Aaj Kal Tere Mere Pyar Ke Charche,Brahmachari,1968,Hindi,Romantic,Duet with Suman Kalyanpur,Shankar-Jaikishan,Hasrat Jaipuri,,https://www.youtube.com/results?search_query=Aaj+Kal+Tere+Mere+Pyar+Ke+Charche+Rafi
Baharon Phool Barsao,Suraj,1966,Hindi,Romantic,Solo,Shankar-Jaikishan,Hasrat Jaipuri,,https://www.youtube.com/results?search_query=Baharon+Phool+Barsao+Mohammad+Rafi
Likhe Jo Khat Tujhe,Kanyadaan,1968,Hindi,Romantic,Solo,Shankar-Jaikishan,Neeraj,,https://www.youtube.com/results?search_query=Likhe+Jo+Khat+Tujhe+Mohammad+Rafi
Dil Ke Jharokhe Mein,Brahmachari,1968,Hindi,Romantic,Solo,Shankar-Jaikishan,Hasrat Jaipuri,,https://www.youtube.com/results?search_query=Dil+Ke+Jharokhe+Mein+Mohammad+Rafi
Pukarta Chala Hoon Main,Mere Sanam,1965,Hindi,Romantic,Solo,O.P. Nayyar,Majrooh Sultanpuri,,https://www.youtube.com/results?search_query=Pukarta+Chala+Hoon+Main+Mohammad+Rafi
Khoya Khoya Chand,Kaala Bazar,1960,Hindi,Romantic,Solo,S.D. Burman,Shailendra,,https://www.youtube.com/results?search_query=Khoya+Khoya+Chand+Mohammad+Rafi
